id,status,grain_yield,test_weight,plant_height,maturity_time,heading_time,grain_moisture,lodging,FHB_DON,FHB_grain_INC,FHB_heading_time,Z_DON,Z_INC,ISK_Custom,Acceptability,Net_Merit,Net_Merit2
IL25-S573,Target,0.074283446,-6.082229771,-5.540007076,0.490651664,1.030794517,0.08105851,-1.079104542,-0.129397503,1.550882937,-0.338774011,-0.546042635,0.036203603,-0.254919516,3.647650387,-53.27313573,-38.68253418
IL25-S574,Target,-0.049301396,-10.94435836,-4.742797795,1.323763747,1.549765785,-0.20148776,-1.546456711,0.072721797,1.463442654,1.195031967,-0.351411279,0.015257729,-0.168076775,3.872290385,-99.88600192,-84.39684038
IL25-S576,Target,0.177172831,0.610935246,-1.746461848,1.564454158,1.668575658,0.370116157,-1.349353788,0.467562981,2.698116104,1.028827949,0.028802168,0.311017449,0.169909808,2.161155681,-6.905525833,1.739096891
IL25-S577,Target,0.222951902,-2.637429111,-5.706973316,1.275571459,0.196228792,0.091837433,-1.208719377,0.127757983,2.430035769,0.239379847,-0.298414026,0.246800174,-0.025806926,3.598562687,-25.7769771,-11.38272635
IL25-S578,Target,0.010869842,-5.049910837,-2.643799624,0.450927613,0.874314852,0.297286995,-0.896008172,-0.048623916,0.80036305,0.333049517,-0.468261479,-0.143579603,-0.305920541,2.458452513,-45.20208998,-35.36827993
IL25-S579,Target,-0.022989957,-6.093061716,-3.709915716,1.142746208,1.204428385,0.27668564,-1.548681824,2.136868454,5.7133388,0.727449437,1.636264641,1.033298647,1.334781644,1.703229958,-75.10151972,-68.28859989
IL25-S58,Target,-0.12923719,4.602167748,0.194900287,0.318959265,1.545568853,0.410730445,0.148689964,-0.224457454,0.557376078,-0.042983972,-0.637580887,-0.201785892,-0.419683389,0.244137158,33.99445934,34.97100797
IL25-S580,Target,-0.266825096,-10.24232751,-6.073521787,0.248222707,-1.416243239,-0.415053097,-1.144032747,1.764896443,3.115864989,-0.697322177,1.27807313,0.411087061,0.844580096,2.59377424,-97.9602442,-87.58514724
IL25-S581,Target,-0.06285784,11.76587491,-2.526694976,1.008000138,1.972528862,0.35841277,0.282430022,0.573844907,0.410434464,1.068101466,0.131146652,-0.236985005,-0.052919176,0.579644769,84.06438794,86.38296702
IL25-S582,Target,-0.049937393,-6.372306224,-3.789631344,1.098714693,1.175527552,0.187385946,-1.79592101,2.045029756,6.83150102,0.609172334,1.547828305,1.301148696,1.424488501,1.944634592,-76.61298726,-68.83444889
IL25-S583,Target,0.011824619,8.92817134,-1.189853405,0.513285301,2.435437147,0.382702682,0.228554671,0.219508741,0.936453579,1.086094928,-0.210062372,-0.110979812,-0.160521092,0.312049239,63.99369213,65.24188909
IL25-S584,Target,-0.070864187,-6.600966373,-4.052300369,1.257096973,1.311054697,0.0471051,-1.733715375,2.092211888,7.286310685,0.558545159,1.593262473,1.410096029,1.501679251,1.862525261,-79.86210924,-72.4120082
IL25-S585,Target,-0.115517316,-7.993438086,-3.655985143,1.254445536,1.543516911,0.188570554,-1.762768714,2.113535864,6.756762454,0.850292902,1.613796457,1.283245455,1.448520956,1.825828767,-92.51783191,-85.21451684
IL25-S586,Target,-0.148489299,-6.389711996,-4.656358908,1.142008119,0.906999751,0.200641516,-1.835905561,2.101686002,7.068263368,0.727074639,1.602385598,1.357863908,1.480124753,2.232603777,-77.18441606,-68.25400095
IL25-S587,Target,5.82E-04,-7.124606922,-4.575255366,1.253803867,1.49121446,0.103822679,-1.869325202,1.954915059,6.150136682,0.585497037,1.461052099,1.137931349,1.299491724,2.465381279,-83.13864175,-73.27711663
IL25-S588,Target,0.04672784,12.97420026,-2.596402967,1.071352415,2.622089779,0.676401661,0.195933623,0.86502929,1.944723506,1.845096188,0.411543485,0.130546099,0.271044792,0.326173385,90.31744663,91.62214017
IL25-S589,Target,-0.085105082,-6.18242727,-5.827086581,1.225228093,1.723965661,0.130317994,-1.699857969,2.037397433,5.984735149,0.762846722,1.540478737,1.098310257,1.319394497,2.658560258,-77.09954402,-66.46530299
IL25-S59,Target,-0.026083867,-12.73110608,0.127628598,0.644306827,-0.670061107,-0.254782587,-0.445154438,-0.559481543,6.732846142,-0.704751272,-0.96019329,1.277516424,0.158661567,0.34329865,-101.1090168,-99.73582224
IL25-S590,Target,-0.126819458,-6.265162433,-3.446953612,0.830210658,0.533302498,0.2213465,-1.662883615,1.601981644,6.074937073,0.575657184,1.121193859,1.119917667,1.120555763,2.017999157,-69.92884516,-61.85684853
IL25-S591,Target,-0.032280264,-8.315983143,-4.083068567,1.342467044,1.101020084,0.137858241,-1.860682711,2.069481074,7.037128344,0.726906116,1.571373771,1.350405672,1.460889721,2.08760098,-93.3216118,-84.97120788
IL25-S592,Target,0.074990197,1.367977447,-1.9782259,0.372420273,1.112926443,0.496965998,-0.92907177,0.922616822,3.100779218,0.823622203,0.466997564,0.407473341,0.437235453,1.373321626,-0.061523964,5.43176254
IL25-S593,Target,-0.131788146,-5.432244885,-3.821452925,1.144709929,1.677755923,0.254982478,-1.64513145,1.868067474,6.406439312,0.728970783,1.377421969,1.199327335,1.288374652,1.923609837,-69.39028367,-61.69584432
IL25-S594,Target,-0.128806872,-6.160116422,-5.08858033,1.072507069,1.421800767,0.075411559,-1.747982385,2.018270117,7.40940527,0.545258186,1.522060033,1.439582708,1.480821371,2.268483446,-75.72996449,-66.65603071
IL25-S595,Target,-0.224996806,7.33146004,0.989646624,0.791705975,1.651666062,1.430908245,-0.902146076,0.037968535,-2.737241019,2.234492823,-0.384877031,-0.990994592,-0.687935811,1.656558412,52.25003906,58.87627271
IL25-S596,Target,-0.161398442,-9.000010858,-0.143528439,-1.332166797,-0.681249745,-0.240949478,-0.403764058,-1.759098035,5.413192577,-1.172280874,-2.115367417,0.961400152,-0.576983633,1.270665892,-55.36638712,-50.28372355
IL25-S597,Target,0.090078468,-9.452162008,-0.571149986,-0.449599706,1.021771884,-0.406255516,0.324465339,-0.237193156,3.669044668,0.555834945,-0.649844767,0.543598428,-0.05312317,-0.158417426,-77.56227565,-78.19594535
IL25-S598,Target,0.07544746,-2.223315986,-3.740365026,-1.471719227,-1.096614545,-0.10176677,-0.419280087,-1.324355359,3.309995065,-1.943019204,-1.696730715,0.457589929,-0.619570393,2.599557687,0.275555696,10.67378644
IL25-S599,Target,-0.185294926,-3.061940474,-0.594403241,-0.829013008,-0.66836382,-0.103912532,0.121211538,-0.876628848,1.353597484,-0.694116848,-1.265591193,-0.01105512,-0.638323156,0.819261539,-15.01220455,-11.73515839
IL25-S6,Target,0.016485755,-0.35647826,-0.895334041,0.966446068,-0.358321873,0.465423287,-1.202981471,1.772232556,3.567443325,0.172375998,1.285137461,0.519260345,0.902198903,0.79082661,-19.29275791,-16.12945147
IL25-S60,Target,0.126848987,-9.059055235,0.490055341,0.798978348,-0.469224741,-0.204716676,0.157320545,0.034812542,4.284891642,-0.178607321,-0.387916104,0.691121425,0.151602661,-0.558645547,-75.64778615,-77.88236833
