"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1188","4","3","IL19-14617 x IL18MSFRS-18","IL18MSFRS-18 x IL19-14617","4 x 3","3 x 4",131.9,36.95,58.15,90.72,1.15,10.16,434.86,4,25.09
"1189","1","3","IL19-14856 x IL18MSFRS-18","IL18MSFRS-18 x IL19-14856","1 x 3","3 x 1",132.3,37.56,58.02,91.58,0.95,7.35,442.45,1,32.68
"1190","38","3","IL19-15327 x IL18MSFRS-18","IL18MSFRS-18 x IL19-15327","38 x 3","3 x 38",134.26,37.83,57.88,89.95,0.94,6.59,424.21,47,14.44
"1191","8","3","IL19-18153 x IL18MSFRS-18","IL18MSFRS-18 x IL19-18153","8 x 3","3 x 8",134.23,36.37,58.22,90.64,0.94,8.53,428.46,21,18.69
"1192","30","3","IL19-18837 x IL18MSFRS-18","IL18MSFRS-18 x IL19-18837","30 x 3","3 x 30",134.63,36.29,58.02,88.98,0.86,7.17,421.26,78,11.49
"1193","32","3","IL19-21760 x IL18MSFRS-18","IL18MSFRS-18 x IL19-21760","32 x 3","3 x 32",133.68,36.1,57.83,88.71,0.86,10.42,419.25,105.5,9.48
"1194","10","3","IL19-22757 x IL18MSFRS-18","IL18MSFRS-18 x IL19-22757","10 x 3","3 x 10",133.81,37.19,58.72,88.86,1.01,9.28,420.47,89,10.7
"1195","31","3","IL19-23833 x IL18MSFRS-18","IL18MSFRS-18 x IL19-23833","31 x 3","3 x 31",134.61,37.54,58.44,90.26,0.99,10.16,422.81,62,13.04
"1196","28","3","IL19-27565 x IL18MSFRS-18","IL18MSFRS-18 x IL19-27565","28 x 3","3 x 28",134.74,37.93,59.06,88.4,0.76,5.58,421.04,81,11.27
"1197","35","3","IL19-3505 x IL18MSFRS-18","IL18MSFRS-18 x IL19-3505","35 x 3","3 x 35",133.31,37.46,58.12,89.68,0.86,6.46,431.35,11,21.58
"1198","20","3","IL19-3528 x IL18MSFRS-18","IL18MSFRS-18 x IL19-3528","20 x 3","3 x 20",133.3,37.7,58.12,89.27,0.88,7.35,428.38,22,18.61
"1199","19","3","IL19-6946 x IL18MSFRS-18","IL18MSFRS-18 x IL19-6946","19 x 3","3 x 19",133.91,36.91,58.12,90.51,1.25,11.63,421.46,75,11.69
"1200","6","3","US16-IL-061-032 x IL18MSFRS-18","IL18MSFRS-18 x US16-IL-061-032","6 x 3","3 x 6",133.78,37.71,58.11,88.45,1.3,11.88,411.77,279.5,2
